KAZA TURU,KAZA TARIHI,AY,MEVSİM,KAZA SAAT,ILCE,MAHALLE,YOL,OLU SAYISI,YARALI SAYISI,TASIT SAYISI,SURUCU KUSURU,OLUS NEDENI,KAPLAMA CINSI,SERIT SAYISI,AYDINLATMA,YASAL HIZ LIMITI,ARAC CINSI,ARAC MODELI,SURUCU CINSIYET,SURUCU EGITIM DURUMU,EHLIYET YILI
Yaralamali,6/19/2014,6,yaz,8,KOCASINAN,BEYAZSEHIR,GUN SAZAK CD.,,1,2,47/1-c,Karsilikli carpisma,Asfalt,3,Var,50,Kamyonet,2013,erkek,ILKOKUL,17
Yaralamali,6/19/2014,6,yaz,8,MELIKGAZI,EGRIBUCAK,FATIH SULTAN MEHMET BULV.,,1,2,53/1-b,Yandan carpma,Asfalt,2,Var,50,Kamyonet,2012,erkek,ILKOKUL,34
Yaralamali,6/19/2014,6,yaz,11,HACILAR,KARPUZSEKISI,24 CD.,,1,2,52/1-a,Yayaya carpma,Asfalt,2,Var,50,Kamyon,1989,erkek,ILKOKUL,24
Yaralamali,6/19/2014,6,yaz,13,KOCASINAN,FEVZI CAKMAK,MUSTAFA KEMAL PASA BULV.,,1,2,47/1-b,Yandan carpma,Asfalt,3,Yok,70,Otomobil,1992,erkek,ILKOGRETIM,16
Yaralamali,6/19/2014,6,yaz,14,MELIKGAZI,KILICASLAN,SHT. UTGM. MUSTAFA SIMSEK BULV.,,1,2,52/1-b,"Devrilme,savrulma,takla",Asfalt,2,Var,50,Otomobil,1990,erkek,LISE VE DENGI OKUL,3
Yaralamali,6/19/2014,6,yaz,16,MELIKGAZI,GULUK,NECIP FAZIL BULV.,,1,2,52/1-b,Yandan carpma,Asfalt,3,Var,50,Motosiklet,2012,erkek,YUKSEK OKUL (LISANS),3
Yaralamali,6/20/2014,6,yaz,3,MELIKGAZI,HUNAT,SEYYID BURHANEDDIN BULV.,,1,2,57/1-a,Yandan carpma,Asfalt,4,Var,50,Otomobil,1990,erkek,ILKOKUL,22
Yaralamali,6/20/2014,6,yaz,11,KOCASINAN,ARGINCIK,ATLAS CD.,,1,1,47/1-b,Yandan carpma,Asfalt,2,Yok,50,Kamyonet,1996,erkek,LISE VE DENGI OKUL,7
Yaralamali,6/20/2014,6,yaz,14,MELIKGAZI,YILDIRIM BEYAZIT,,,1,2,52/1-a,Yandan carpma,Asfalt,2,Yok,50,Kamyonet,2006,erkek,ILKOKUL,0
Yaralamali,6/20/2014,6,yaz,16,KOCASINAN,SAHABIYE,MUSTAFA KEMAL PASA BULV.,,1,1,57/1-a,Yandan carpma,Asfalt,1,Var,70,Kamyonet,2009,erkek,ILKOGRETIM,2
